"","year","RESDBT","MRTHEL","CCBAL","EDN_INST","VEH_INST","OTHDBT"
"1","2007",0.0733736762481089,0.130862329803328,0.553706505295008,0.548411497730711,0.375189107413011,0.479576399394856
"2","2010",0.0301616915422886,0.278917910447761,0.522699004975124,0.609452736318408,0.345460199004975,0.418532338308458
"3","2013",0.0317097090552468,0.21542987904544,0.473030402092187,0.647924158221641,0.330500163452109,0.352402745995423
"4","2016",0.0146960587842351,0.137942551770207,0.549432197728791,0.7374749498998,0.372077488309953,0.325317301269205
"5","2019",0.0125984251968504,0.135433070866142,0.63503937007874,0.709448818897638,0.43503937007874,0.343307086614173
