"","scf","net_debtors"
"Black, non-Hispanic",0.156522992033424,0.283894271085014
"Hispanic",0.109303854438013,0.118161279781874
"Other",0.0542164105362213,0.0459653851083799
"White, non-Hispanic",0.679956742992342,0.551979064024732
