"","wpct.neg_nw_89.RACE..neg_nw_89.WGT.","wpct.scf_89.RACE..scf_89.WGT.","wpct.neg_nw_92.RACE..neg_nw_92.WGT.","wpct.scf_92.RACE..scf_92.WGT.","wpct.neg_nw_95.RACE..neg_nw_95.WGT.","wpct.scf_95.RACE..scf_95.WGT.","wpct.neg_nw_98.RACE..neg_nw_98.WGT.","wpct.scf_98.RACE..scf_98.WGT.","wpct.neg_nw_01.RACE..neg_nw_01.WGT.","wpct.scf_01.RACE..scf_01.WGT.","wpct.neg_nw_04.RACE..neg_nw_04.WGT.","wpct.scf_04.RACE..scf_04.WGT.","wpct.neg_nw_07.RACE..neg_nw_07.WGT.","wpct.scf_07.RACE..scf_07.WGT.","wpct.neg_nw_10.RACE..neg_nw_10.WGT.","wpct.scf_10.RACE..scf_10.WGT.","wpct.neg_nw_13.RACE..neg_nw_13.WGT.","wpct.scf_13.RACE..scf_13.WGT.","wpct.neg_nw_16.RACE..neg_nw_16.WGT.","wpct.scf_16.RACE..scf_16.WGT.","wpct.neg_nw_19.RACE..neg_nw_19.WGT.","wpct.scf_19.RACE..scf_19.WGT."
"1",0.552382297133538,0.748130009646954,0.623200371003797,0.752886889428855,0.63109796084941,0.775886554674028,0.669177827631067,0.777359896741757,0.618857605674154,0.762269791386708,0.62109805795962,0.735990694505795,0.607809465861019,0.739213819217614,0.640524357918101,0.70795650913095,0.536414075031834,0.700911961444483,0.559038689670258,0.680348951564082,0.283894271085014,0.156522992033424
"2",0.207598047802975,0.127347141162104,0.191436828171241,0.126674311231248,0.247004149127535,0.127948229387814,0.179999189447944,0.118577306527049,0.215643693601288,0.130310657061111,0.248643529103064,0.135602800255841,0.241912532067473,0.125787849732659,0.203466222511161,0.138272053729553,0.285736854783149,0.146127308586383,0.27361434220862,0.158544713701477,0.118161279781874,0.109303854438013
"3",0.177677469084971,0.0791184189249634,0.151824377383756,0.0749227775478544,0.071947381209939,0.0567543316768197,0.11202621625166,0.0719397400833972,0.108660319715752,0.0795888919677588,0.10572242753962,0.0917317759478723,0.124018551385944,0.094147658826844,0.119482172563136,0.107592450130811,0.130072521202216,0.106437008655611,0.117959957809513,0.113367014086579,0.0459653851083799,0.0542164105362213
"5",0.0623421859785159,0.045404430265978,0.0335384234412051,0.0455160217920428,0.0499505088131166,0.0394108842613383,0.0387967666693285,0.0321230566477964,0.0568383810088063,0.0278306595844222,0.0245359853976959,0.0366747292904912,0.0262594506855631,0.0408506722228838,0.036527247007602,0.0461789870086865,0.0477765489828006,0.0465237213135234,0.0493870103116086,0.0477393206478611,0.551979064024732,0.679956742992342
