"","med","prop"
"LIQ",1220,0.97755905511811
"RETQLIQ",0,0.310629921259843
"OTHFIN",0,0.062992125984252
"SECURITIES",0,0.108661417322835
"VEHIC",7400,0.727952755905512
"HOUSES",0,0.141338582677165
"BUS",0,0.0232283464566929
"OTHNFIN",0,0.0358267716535433
"NONRES",0,0.0236220472440945
